coords,lat,lon
"15.4, -60.4",15.4,-60.4
"15.4, -60.425",15.4,-60.425
"15.4, -60.45",15.4,-60.45
"15.4, -60.475",15.4,-60.475
"15.4, -60.5",15.4,-60.5
"15.4, -60.525",15.4,-60.525
"15.4, -60.55",15.4,-60.55
"15.4, -60.575",15.4,-60.575
"15.4, -60.6",15.4,-60.6
"15.4, -60.625",15.4,-60.625
"15.4, -60.65",15.4,-60.65
"15.4, -60.675",15.4,-60.675
"15.4, -60.7",15.4,-60.7
"15.4, -60.725",15.4,-60.725
"15.4, -60.75",15.4,-60.75
"15.4, -60.775",15.4,-60.775
"15.4, -60.8",15.4,-60.8
"15.4, -60.825",15.4,-60.825
"15.4, -60.85",15.4,-60.85
"15.4, -60.875",15.4,-60.875
"15.4, -60.9",15.4,-60.9
"15.4, -60.925",15.4,-60.925
"15.4, -60.95",15.4,-60.95
"15.4, -60.975",15.4,-60.975
"15.4, -61",15.4,-61
"15.4, -61.025",15.4,-61.025
"15.4, -61.05",15.4,-61.05
"15.4, -61.075",15.4,-61.075
"15.4, -61.1",15.4,-61.1
"15.4, -61.125",15.4,-61.125
"15.4, -61.15",15.4,-61.15
"15.4, -61.175",15.4,-61.175
"15.4, -61.2",15.4,-61.2
"15.4, -61.225",15.4,-61.225
"15.4, -61.25",15.4,-61.25
"15.4, -61.275",15.4,-61.275
"15.4, -61.3",15.4,-61.3
"15.4, -61.325",15.4,-61.325
"15.4, -61.35",15.4,-61.35
"15.4, -61.375",15.4,-61.375
"15.4, -61.4",15.4,-61.4
"15.4, -61.425",15.4,-61.425
"15.4, -61.45",15.4,-61.45
"15.4, -61.475",15.4,-61.475
"15.4, -61.5",15.4,-61.5
"15.4, -61.525",15.4,-61.525
"15.4, -61.55",15.4,-61.55
"15.4, -61.575",15.4,-61.575
"15.4, -61.6",15.4,-61.6
"15.4, -61.625",15.4,-61.625
"15.4, -61.65",15.4,-61.65
"15.4, -61.675",15.4,-61.675
"15.4, -61.7",15.4,-61.7
"15.4, -61.725",15.4,-61.725
"15.4, -61.75",15.4,-61.75
"15.4, -61.775",15.4,-61.775
"15.4, -61.8",15.4,-61.8
"15.4, -61.825",15.4,-61.825
"15.4, -61.85",15.4,-61.85
"15.4, -61.875",15.4,-61.875
"15.4, -61.9",15.4,-61.9
"15.4, -61.925",15.4,-61.925
"15.4, -61.95",15.4,-61.95
"15.4, -61.975",15.4,-61.975
"15.4, -62",15.4,-62
"15.4, -62.025",15.4,-62.025
"15.4, -62.05",15.4,-62.05
"15.4, -62.075",15.4,-62.075
"15.4, -62.1",15.4,-62.1
"15.4, -62.125",15.4,-62.125
"15.4, -62.15",15.4,-62.15
"15.4, -62.175",15.4,-62.175
"15.4, -62.2",15.4,-62.2
"15.425, -60.4",15.425,-60.4
"15.425, -60.425",15.425,-60.425
"15.425, -60.45",15.425,-60.45
"15.425, -60.475",15.425,-60.475
"15.425, -60.5",15.425,-60.5
"15.425, -60.525",15.425,-60.525
"15.425, -60.55",15.425,-60.55
"15.425, -60.575",15.425,-60.575
"15.425, -60.6",15.425,-60.6
"15.425, -60.625",15.425,-60.625
"15.425, -60.65",15.425,-60.65
"15.425, -60.675",15.425,-60.675
"15.425, -60.7",15.425,-60.7
"15.425, -60.725",15.425,-60.725
"15.425, -60.75",15.425,-60.75
"15.425, -60.775",15.425,-60.775
"15.425, -60.8",15.425,-60.8
"15.425, -60.825",15.425,-60.825
"15.425, -60.85",15.425,-60.85
"15.425, -60.875",15.425,-60.875
"15.425, -60.9",15.425,-60.9
"15.425, -60.925",15.425,-60.925
"15.425, -60.95",15.425,-60.95
"15.425, -60.975",15.425,-60.975
"15.425, -61",15.425,-61
"15.425, -61.025",15.425,-61.025
"15.425, -61.05",15.425,-61.05
"15.425, -61.075",15.425,-61.075
"15.425, -61.1",15.425,-61.1
"15.425, -61.125",15.425,-61.125
"15.425, -61.15",15.425,-61.15
"15.425, -61.175",15.425,-61.175
"15.425, -61.2",15.425,-61.2
"15.425, -61.225",15.425,-61.225
"15.425, -61.25",15.425,-61.25
"15.425, -61.275",15.425,-61.275
"15.425, -61.3",15.425,-61.3
"15.425, -61.325",15.425,-61.325
"15.425, -61.35",15.425,-61.35
"15.425, -61.375",15.425,-61.375
"15.425, -61.4",15.425,-61.4
"15.425, -61.425",15.425,-61.425
"15.425, -61.45",15.425,-61.45
"15.425, -61.475",15.425,-61.475
"15.425, -61.5",15.425,-61.5
"15.425, -61.525",15.425,-61.525
"15.425, -61.55",15.425,-61.55
"15.425, -61.575",15.425,-61.575
"15.425, -61.6",15.425,-61.6
"15.425, -61.625",15.425,-61.625
"15.425, -61.65",15.425,-61.65
"15.425, -61.675",15.425,-61.675
"15.425, -61.7",15.425,-61.7
"15.425, -61.725",15.425,-61.725
"15.425, -61.75",15.425,-61.75
"15.425, -61.775",15.425,-61.775
"15.425, -61.8",15.425,-61.8
"15.425, -61.825",15.425,-61.825
"15.425, -61.85",15.425,-61.85
"15.425, -61.875",15.425,-61.875
"15.425, -61.9",15.425,-61.9
"15.425, -61.925",15.425,-61.925
"15.425, -61.95",15.425,-61.95
"15.425, -61.975",15.425,-61.975
"15.425, -62",15.425,-62
"15.425, -62.025",15.425,-62.025
"15.425, -62.05",15.425,-62.05
"15.425, -62.075",15.425,-62.075
"15.425, -62.1",15.425,-62.1
"15.425, -62.125",15.425,-62.125
"15.425, -62.15",15.425,-62.15
"15.425, -62.175",15.425,-62.175
"15.425, -62.2",15.425,-62.2
"15.45, -60.4",15.45,-60.4
"15.45, -60.425",15.45,-60.425
"15.45, -60.45",15.45,-60.45
"15.45, -60.475",15.45,-60.475
"15.45, -60.5",15.45,-60.5
"15.45, -60.525",15.45,-60.525
"15.45, -60.55",15.45,-60.55
"15.45, -60.575",15.45,-60.575
"15.45, -60.6",15.45,-60.6
"15.45, -60.625",15.45,-60.625
"15.45, -60.65",15.45,-60.65
"15.45, -60.675",15.45,-60.675
"15.45, -60.7",15.45,-60.7
"15.45, -60.725",15.45,-60.725
"15.45, -60.75",15.45,-60.75
"15.45, -60.775",15.45,-60.775
"15.45, -60.8",15.45,-60.8
"15.45, -60.825",15.45,-60.825
"15.45, -60.85",15.45,-60.85
"15.45, -60.875",15.45,-60.875
"15.45, -60.9",15.45,-60.9
"15.45, -60.925",15.45,-60.925
"15.45, -60.95",15.45,-60.95
"15.45, -60.975",15.45,-60.975
"15.45, -61",15.45,-61
"15.45, -61.025",15.45,-61.025
"15.45, -61.05",15.45,-61.05
"15.45, -61.075",15.45,-61.075
"15.45, -61.1",15.45,-61.1
"15.45, -61.125",15.45,-61.125
"15.45, -61.15",15.45,-61.15
"15.45, -61.175",15.45,-61.175
"15.45, -61.2",15.45,-61.2
"15.45, -61.225",15.45,-61.225
"15.45, -61.25",15.45,-61.25
"15.45, -61.275",15.45,-61.275
"15.45, -61.3",15.45,-61.3
"15.45, -61.325",15.45,-61.325
"15.45, -61.35",15.45,-61.35
"15.45, -61.375",15.45,-61.375
"15.45, -61.4",15.45,-61.4
"15.45, -61.425",15.45,-61.425
"15.45, -61.45",15.45,-61.45
"15.45, -61.475",15.45,-61.475
"15.45, -61.5",15.45,-61.5
"15.45, -61.525",15.45,-61.525
"15.45, -61.55",15.45,-61.55
"15.45, -61.575",15.45,-61.575
"15.45, -61.6",15.45,-61.6
"15.45, -61.625",15.45,-61.625
"15.45, -61.65",15.45,-61.65
