coords,lat,lon,ISO_Code,region,NAME
"16.225, -61.55",16.225,-61.55,GP0101,Baie-Mahault,CapExcellence
"16.225, -61.625",16.225,-61.625,GP0101,Baie-Mahault,CapExcellence
"16.25, -61.575",16.25,-61.575,GP0101,Baie-Mahault,CapExcellence
"16.25, -61.6",16.25,-61.6,GP0101,Baie-Mahault,CapExcellence
"16.25, -61.625",16.25,-61.625,GP0101,Baie-Mahault,CapExcellence
"16.275, -61.575",16.275,-61.575,GP0101,Baie-Mahault,CapExcellence
"16.275, -61.6",16.275,-61.6,GP0101,Baie-Mahault,CapExcellence
"16.025, -61.725",16.025,-61.725,GP0102,Baillif,GrandSud
"16.05, -61.725",16.05,-61.725,GP0102,Baillif,GrandSud
"16.075, -61.7",16.075,-61.7,GP0102,Baillif,GrandSud
"16, -61.725",16,-61.725,GP0103,Basse-Terre,GrandSud
"16.125, -61.75",16.125,-61.75,GP0104,Bouillante,GrandSud
"16.15, -61.75",16.15,-61.75,GP0104,Bouillante,GrandSud
"16.15, -61.775",16.15,-61.775,GP0104,Bouillante,GrandSud
"16.175, -61.75",16.175,-61.75,GP0104,Bouillante,GrandSud
"16.175, -61.775",16.175,-61.775,GP0104,Bouillante,GrandSud
"16.025, -61.575",16.025,-61.575,GP0105,Capesterre-Belle-Eau,GrandSud
"16.025, -61.6",16.025,-61.6,GP0105,Capesterre-Belle-Eau,GrandSud
"16.025, -61.625",16.025,-61.625,GP0105,Capesterre-Belle-Eau,GrandSud
"16.05, -61.575",16.05,-61.575,GP0105,Capesterre-Belle-Eau,GrandSud
"16.05, -61.6",16.05,-61.6,GP0105,Capesterre-Belle-Eau,GrandSud
"16.05, -61.625",16.05,-61.625,GP0105,Capesterre-Belle-Eau,GrandSud
"16.05, -61.65",16.05,-61.65,GP0105,Capesterre-Belle-Eau,GrandSud
"16.075, -61.575",16.075,-61.575,GP0105,Capesterre-Belle-Eau,GrandSud
"16.075, -61.6",16.075,-61.6,GP0105,Capesterre-Belle-Eau,GrandSud
"16.075, -61.625",16.075,-61.625,GP0105,Capesterre-Belle-Eau,GrandSud
"16.075, -61.65",16.075,-61.65,GP0105,Capesterre-Belle-Eau,GrandSud
"16.075, -61.675",16.075,-61.675,GP0105,Capesterre-Belle-Eau,GrandSud
"16.1, -61.575",16.1,-61.575,GP0105,Capesterre-Belle-Eau,GrandSud
"16.275, -61.775",16.275,-61.775,GP0106,Deshaies,BasseTerreNorth
"16.275, -61.8",16.275,-61.8,GP0106,Deshaies,BasseTerreNorth
"16.3, -61.775",16.3,-61.775,GP0106,Deshaies,BasseTerreNorth
"16.3, -61.8",16.3,-61.8,GP0106,Deshaies,BasseTerreNorth
"16.325, -61.775",16.325,-61.775,GP0106,Deshaies,BasseTerreNorth
"15.975, -61.7",15.975,-61.7,GP0107,Gourbeyre,GrandSud
"16, -61.675",16,-61.675,GP0107,Gourbeyre,GrandSud
"16, -61.7",16,-61.7,GP0107,Gourbeyre,GrandSud
"16.1, -61.6",16.1,-61.6,GP0108,Goyave,BasseTerreNorth
"16.1, -61.625",16.1,-61.625,GP0108,Goyave,BasseTerreNorth
"16.1, -61.65",16.1,-61.65,GP0108,Goyave,BasseTerreNorth
"16.125, -61.575",16.125,-61.575,GP0108,Goyave,BasseTerreNorth
"16.125, -61.6",16.125,-61.6,GP0108,Goyave,BasseTerreNorth
"16.125, -61.625",16.125,-61.625,GP0108,Goyave,BasseTerreNorth
"16.125, -61.65",16.125,-61.65,GP0108,Goyave,BasseTerreNorth
"16.15, -61.6",16.15,-61.6,GP0108,Goyave,BasseTerreNorth
"16.2, -61.7",16.2,-61.7,GP0109,Lamentin,BasseTerreNorth
"16.2, -61.725",16.2,-61.725,GP0109,Lamentin,BasseTerreNorth
"16.225, -61.65",16.225,-61.65,GP0109,Lamentin,BasseTerreNorth
"16.225, -61.675",16.225,-61.675,GP0109,Lamentin,BasseTerreNorth
"16.225, -61.7",16.225,-61.7,GP0109,Lamentin,BasseTerreNorth
"16.25, -61.65",16.25,-61.65,GP0109,Lamentin,BasseTerreNorth
"16.275, -61.625",16.275,-61.625,GP0109,Lamentin,BasseTerreNorth
"16.275, -61.65",16.275,-61.65,GP0109,Lamentin,BasseTerreNorth
